taxa	Accession	Length	Country	Host	Collection_Date
MN643083|Brazil|Human|2018-02-25	MN643083	10682	Brazil	Human	2018-02-25
MN643084|Brazil|Human|2018-02-25	MN643084	11007	Brazil	Human	2018-02-25
MK583174|Brazil|Human|2018-02-24	MK583174	10980	Brazil	Human	2018-02-24
MK583173|Brazil|Human|2018-02-23	MK583173	10991	Brazil	Human	2018-02-23
MN643081|Brazil|Human|2018-02-19	MN643081	11007	Brazil	Human	2018-02-19
MK583172|Brazil|Human|2018-02-19	MK583172	10996	Brazil	Human	2018-02-19
MK583169|Brazil|Human|2018-02-18	MK583169	10944	Brazil	Human	2018-02-18
MK583170|Brazil|Human|2018-02-18	MK583170	11011	Brazil	Human	2018-02-18
MK583171|Brazil|Human|2018-02-18	MK583171	10973	Brazil	Human	2018-02-18
MN643080|Brazil|Human|2018-02-17	MN643080	11007	Brazil	Human	2018-02-17
MN643082|Brazil|Human|2018-02-16	MN643082	11007	Brazil	Human	2018-02-16
MN643086|Brazil|Human|2018-02-14	MN643086	11007	Brazil	Human	2018-02-14
MN643087|Brazil|Human|2018-02-13	MN643087	11007	Brazil	Human	2018-02-13
MN643085|Brazil|Human|2018-02-11	MN643085	10689	Brazil	Human	2018-02-11
MK583167|Brazil|Human|2018-02-11	MK583167	10947	Brazil	Human	2018-02-11
MK583168|Brazil|Human|2018-02-11	MK583168	10993	Brazil	Human	2018-02-11
MN643091|Brazil|NHP|2018-02-07	MN643091	11007	Brazil	NHP	2018-02-07
MN643092|Brazil|NHP|2018-02-07	MN643092	11007	Brazil	NHP	2018-02-07
MK333805|Brazil|NHP|2018-02-07	MK333805	10354	Brazil	NHP	2018-02-07
MK583166|Brazil|Human|2018-02-06	MK583166	10946	Brazil	Human	2018-02-06
MK882620|Brazil|Human|2018-02-05	MK882620	10169	Brazil	Human	2018-02-05
MK882621|Brazil|Human|2018-02-05	MK882621	10169	Brazil	Human	2018-02-05
MN643090|Brazil|NHP|2018-02-04	MN643090	11007	Brazil	NHP	2018-02-04
MK583165|Brazil|Human|2018-02-04	MK583165	10986	Brazil	Human	2018-02-04
MK583164|Brazil|Human|2018-02-03	MK583164	10999	Brazil	Human	2018-02-03
MK583163|Brazil|Human|2018-02-02	MK583163	10944	Brazil	Human	2018-02-02
MH193175|Brazil|NHP|2018-02-01	MH193175	10169	Brazil	NHP	2018-02-01
MK583162|Brazil|Human|2018-01-31	MK583162	10999	Brazil	Human	2018-01-31
MK583160|Brazil|Human|2018-01-29	MK583160	10968	Brazil	Human	2018-01-29
MK333808|Brazil|NHP|2018-01-29	MK333808	11007	Brazil	NHP	2018-01-29
MH329655|Brazil|NHP|2018-01-29	MH329655	10169	Brazil	NHP	2018-01-29
MK333806|Brazil|NHP|2018-01-27	MK333806	11007	Brazil	NHP	2018-01-27
MN643079|Brazil|Human|2018-01-26	MN643079	11007	Brazil	Human	2018-01-26
MN506289|Brazil|Unknown|2018-01-26	MN506289	11007	Brazil	Unknown	2018-01-26
MN506291|Brazil|Unknown|2018-01-26	MN506291	11007	Brazil	Unknown	2018-01-26
MN643078|Brazil|Human|2018-01-25	MN643078	11007	Brazil	Human	2018-01-25
MK882619|Brazil|Human|2018-01-25	MK882619	10169	Brazil	Human	2018-01-25
MN506284|Brazil|Unknown|2018-01-24	MN506284	11007	Brazil	Unknown	2018-01-24
MN506285|Brazil|Unknown|2018-01-24	MN506285	11007	Brazil	Unknown	2018-01-24
MN506286|Brazil|Unknown|2018-01-24	MN506286	11007	Brazil	Unknown	2018-01-24
MN506287|Brazil|Unknown|2018-01-24	MN506287	11007	Brazil	Unknown	2018-01-24
MN506288|Brazil|Unknown|2018-01-24	MN506288	11007	Brazil	Unknown	2018-01-24
MK583159|Brazil|Human|2018-01-24	MK583159	10998	Brazil	Human	2018-01-24
MK583161|Brazil|Human|2018-01-24	MK583161	10945	Brazil	Human	2018-01-24
MK583156|Brazil|Human|2018-01-23	MK583156	10941	Brazil	Human	2018-01-23
MK583157|Brazil|Human|2018-01-23	MK583157	10949	Brazil	Human	2018-01-23
MK583158|Brazil|Human|2018-01-23	MK583158	10995	Brazil	Human	2018-01-23
MK583155|Brazil|Human|2018-01-22	MK583155	10992	Brazil	Human	2018-01-22
MK882618|Brazil|Human|2018-01-22	MK882618	10169	Brazil	Human	2018-01-22
MK583154|Brazil|Human|2018-01-21	MK583154	10993	Brazil	Human	2018-01-21
MK583153|Brazil|Human|2018-01-20	MK583153	10995	Brazil	Human	2018-01-20
MK333809|Brazil|NHP|2018-01-19	MK333809	11007	Brazil	NHP	2018-01-19
MN506290|Brazil|Unknown|2018-01-18	MN506290	11007	Brazil	Unknown	2018-01-18
MK333807|Brazil|NHP|2018-01-18	MK333807	11007	Brazil	NHP	2018-01-18
MN643077|Brazil|Human|2018-01-16	MN643077	11007	Brazil	Human	2018-01-16
MK583149|Brazil|Human|2018-01-16	MK583149	10999	Brazil	Human	2018-01-16
MK583150|Brazil|Human|2018-01-15	MK583150	10991	Brazil	Human	2018-01-15
MK583151|Brazil|Human|2018-01-15	MK583151	10953	Brazil	Human	2018-01-15
MK583148|Brazil|Human|2018-01-13	MK583148	10975	Brazil	Human	2018-01-13
MK583147|Brazil|Human|2018-01-12	MK583147	10946	Brazil	Human	2018-01-12
MN506266|Brazil|Unknown|2018-01-09	MN506266	11007	Brazil	Unknown	2018-01-09
MH193173|Brazil|NHP|2018-01-09	MH193173	10169	Brazil	NHP	2018-01-09
MH193174|Brazil|Human|2018-01-09	MH193174	10169	Brazil	Human	2018-01-09
MK333798|Brazil|Human|2018-01-08	MK333798	11007	Brazil	Human	2018-01-08
MK333799|Brazil|Human|2018-01-08	MK333799	11007	Brazil	Human	2018-01-08
MN506265|Brazil|Unknown|2017-12-19	MN506265	11007	Brazil	Unknown	2017-12-19
MK882617|Brazil|Human|2017-11-28	MK882617	10169	Brazil	Human	2017-11-28
MN643089|Brazil|NHP|2017-10-19	MN643089	11007	Brazil	NHP	2017-10-19
MH030070|Brazil|NHP|2017-10-19	MH030070	10169	Brazil	NHP	2017-10-19
MH030071|Brazil|NHP|2017-10-18	MH030071	10169	Brazil	NHP	2017-10-18
MH030073|Brazil|NHP|2017-10-18	MH030073	10169	Brazil	NHP	2017-10-18
MH030074|Brazil|NHP|2017-10-18	MH030074	10169	Brazil	NHP	2017-10-18
MH030057|Brazil|NHP|2017-09-27	MH030057	10169	Brazil	NHP	2017-09-27
MH030060|Brazil|NHP|2017-09-27	MH030060	10169	Brazil	NHP	2017-09-27
MH030058|Brazil|NHP|2017-09-26	MH030058	10169	Brazil	NHP	2017-09-26
MH030059|Brazil|NHP|2017-09-21	MH030059	10169	Brazil	NHP	2017-09-21
MH030061|Brazil|NHP|2017-09-21	MH030061	10169	Brazil	NHP	2017-09-21
MH030062|Brazil|NHP|2017-09-19	MH030062	10169	Brazil	NHP	2017-09-19
MH030054|Brazil|NHP|2017-09-15	MH030054	10169	Brazil	NHP	2017-09-15
MH030056|Brazil|NHP|2017-09-12	MH030056	10169	Brazil	NHP	2017-09-12
MH030055|Brazil|NHP|2017-09-11	MH030055	10169	Brazil	NHP	2017-09-11
MH030053|Brazil|NHP|2017-08-30	MH030053	10169	Brazil	NHP	2017-08-30
MH030049|Brazil|NHP|2017-08-17	MH030049	10169	Brazil	NHP	2017-08-17
MH030050|Brazil|NHP|2017-08-16	MH030050	10169	Brazil	NHP	2017-08-16
MF538786|Brazil|NHP|2017-06-05	MF538786	11007	Brazil	NHP	2017-06-05
MH030091|Brazil|Human|2017-05-29	MH030091	10169	Brazil	Human	2017-05-29
MN506267|Brazil|Unknown|2017-05-08	MN506267	11007	Brazil	Unknown	2017-05-08
MN506282|Brazil|Unknown|2017-05-08	MN506282	11007	Brazil	Unknown	2017-05-08
MN506278|Brazil|Unknown|2017-05-07	MN506278	11007	Brazil	Unknown	2017-05-07
MN506280|Brazil|Unknown|2017-05-07	MN506280	11007	Brazil	Unknown	2017-05-07
MN506269|Brazil|Unknown|2017-05-06	MN506269	11007	Brazil	Unknown	2017-05-06
MN506272|Brazil|Unknown|2017-05-06	MN506272	11007	Brazil	Unknown	2017-05-06
MN506274|Brazil|Unknown|2017-05-06	MN506274	10719	Brazil	Unknown	2017-05-06
MK089775|Brazil|NHP|2017-05-06	MK089775	10354	Brazil	NHP	2017-05-06
MN506268|Brazil|Unknown|2017-05-05	MN506268	11007	Brazil	Unknown	2017-05-05
MN506270|Brazil|Unknown|2017-05-05	MN506270	11007	Brazil	Unknown	2017-05-05
MN506271|Brazil|Unknown|2017-05-05	MN506271	11007	Brazil	Unknown	2017-05-05
MN506273|Brazil|Unknown|2017-05-05	MN506273	11007	Brazil	Unknown	2017-05-05
MN506275|Brazil|Unknown|2017-05-05	MN506275	11007	Brazil	Unknown	2017-05-05
MN506276|Brazil|Unknown|2017-05-05	MN506276	11007	Brazil	Unknown	2017-05-05
MN506277|Brazil|Unknown|2017-05-05	MN506277	11007	Brazil	Unknown	2017-05-05
MN506283|Brazil|Unknown|2017-05-05	MN506283	11007	Brazil	Unknown	2017-05-05
MN506279|Brazil|Unknown|2017-05-04	MN506279	11007	Brazil	Unknown	2017-05-04
MH030088|Brazil|Human|2017-05-03	MH030088	10169	Brazil	Human	2017-05-03
MH030089|Brazil|Human|2017-05-03	MH030089	10169	Brazil	Human	2017-05-03
MH030090|Brazil|Human|2017-05-02	MH030090	10169	Brazil	Human	2017-05-02
MN506281|Brazil|Unknown|2017-04-26	MN506281	10859	Brazil	Unknown	2017-04-26
MH030087|Brazil|Human|2017-04-26	MH030087	10169	Brazil	Human	2017-04-26
MF434851|Brazil|Human|2017-04-25	MF434851	11007	Brazil	Human	2017-04-25
MH018113|Brazil|Human|2017-04-22	MH018113	10195	Brazil	Human	2017-04-22
MF538785|Brazil|NHP|2017-04-21	MF538785	11007	Brazil	NHP	2017-04-21
MK333803|Brazil|NHP|2017-04-20	MK333803	11007	Brazil	NHP	2017-04-20
MF370548|Brazil|NHP|2017-04-20	MF370548	11007	Brazil	NHP	2017-04-20
MN643088|Brazil|NHP|2017-04-19	MN643088	11007	Brazil	NHP	2017-04-19
MF423377|Brazil|NHP|2017-04-19	MF423377	11007	Brazil	NHP	2017-04-19
MF423378|Brazil|NHP|2017-04-19	MF423378	11007	Brazil	NHP	2017-04-19
MG550109|Brazil|Human|2017-04-18	MG550109	11007	Brazil	Human	2017-04-18
MK882614|Brazil|Human|2017-04-17	MK882614	10169	Brazil	Human	2017-04-17
MK882616|Brazil|Human|2017-04-17	MK882616	10169	Brazil	Human	2017-04-17
MH018112|Brazil|NHP|2017-04-17	MH018112	10216	Brazil	NHP	2017-04-17
MF170968|Brazil|Human|2017-04-13	MF170968	10236	Brazil	Human	2017-04-13
MF423376|Brazil|NHP|2017-04-13	MF423376	11007	Brazil	NHP	2017-04-13
MH018111|Brazil|Human|2017-04-10	MH018111	10195	Brazil	Human	2017-04-10
MF170973|Brazil|Human|2017-04-10	MF170973	10236	Brazil	Human	2017-04-10
MN604286|Brazil|NHP|2017-04-07	MN604286	10172	Brazil	NHP	2017-04-07
MF170979|Brazil|Human|2017-04-06	MF170979	10236	Brazil	Human	2017-04-06
MN604285|Brazil|NHP|2017-04-05	MN604285	10172	Brazil	NHP	2017-04-05
MK333801|Brazil|NHP|2017-04-05	MK333801	11007	Brazil	NHP	2017-04-05
MK333802|Brazil|NHP|2017-04-05	MK333802	11007	Brazil	NHP	2017-04-05
MF370544|Brazil|NHP|2017-04-05	MF370544	11007	Brazil	NHP	2017-04-05
MF370545|Brazil|NHP|2017-04-05	MF370545	11008	Brazil	NHP	2017-04-05
MF370546|Brazil|NHP|2017-04-05	MF370546	11004	Brazil	NHP	2017-04-05
MF170981|Brazil|Human|2017-04-05	MF170981	10236	Brazil	Human	2017-04-05
MF423375|Brazil|NHP|2017-04-04	MF423375	11007	Brazil	NHP	2017-04-04
MF170972|Brazil|Human|2017-03-31	MF170972	10236	Brazil	Human	2017-03-31
MF170974|Brazil|Human|2017-03-29	MF170974	10236	Brazil	Human	2017-03-29
MF170978|Brazil|Human|2017-03-28	MF170978	10236	Brazil	Human	2017-03-28
MK882613|Brazil|Human|2017-03-27	MK882613	10172	Brazil	Human	2017-03-27
MK882615|Brazil|Human|2017-03-27	MK882615	10104	Brazil	Human	2017-03-27
MF370547|Brazil|NHP|2017-03-27	MF370547	10998	Brazil	NHP	2017-03-27
MF170980|Brazil|Human|2017-03-23	MF170980	10236	Brazil	Human	2017-03-23
MF170970|Brazil|Human|2017-03-21	MF170970	10236	Brazil	Human	2017-03-21
MK882612|Brazil|Human|2017-03-20	MK882612	10169	Brazil	Human	2017-03-20
MF170969|Brazil|Human|2017-03-18	MF170969	10236	Brazil	Human	2017-03-18
MF538783|Brazil|Human|2017-03-18	MF538783	11007	Brazil	Human	2017-03-18
MN604287|Brazil|NHP|2017-03-17	MN604287	10166	Brazil	NHP	2017-03-17
MN604282|Brazil|NHP|2017-03-16	MN604282	10167	Brazil	NHP	2017-03-16
MF538782|Brazil|Human|2017-03-16	MF538782	11007	Brazil	Human	2017-03-16
MN604283|Brazil|NHP|2017-03-15	MN604283	10167	Brazil	NHP	2017-03-15
MN604284|Brazil|Human|2017-03-15	MN604284	10172	Brazil	Human	2017-03-15
MF370542|Brazil|NHP|2017-03-14	MF370542	10898	Brazil	NHP	2017-03-14
MN604281|Brazil|NHP|2017-03-13	MN604281	10167	Brazil	NHP	2017-03-13
MK882609|Brazil|Human|2017-03-13	MK882609	10169	Brazil	Human	2017-03-13
MK882608|Brazil|Human|2017-03-12	MK882608	9763	Brazil	Human	2017-03-12
MN604280|Brazil|NHP|2017-03-10	MN604280	10166	Brazil	NHP	2017-03-10
MH018099|Brazil|NHP|2017-03-10	MH018099	10169	Brazil	NHP	2017-03-10
MH018108|Brazil|Human|2017-03-10	MH018108	10191	Brazil	Human	2017-03-10
MK882605|Brazil|Human|2017-03-09	MK882605	9763	Brazil	Human	2017-03-09
MK882607|Brazil|Human|2017-03-09	MK882607	10169	Brazil	Human	2017-03-09
MH018110|Brazil|NHP|2017-03-09	MH018110	10195	Brazil	NHP	2017-03-09
MK882611|Brazil|Human|2017-03-08	MK882611	10169	Brazil	Human	2017-03-08
MH018109|Brazil|NHP|2017-03-08	MH018109	10195	Brazil	NHP	2017-03-08
MK882606|Brazil|Human|2017-03-07	MK882606	9763	Brazil	Human	2017-03-07
MK882610|Brazil|Human|2017-03-06	MK882610	10169	Brazil	Human	2017-03-06
MK728873|Brazil|Human|2017-03-04	MK728873	11007	Brazil	Human	2017-03-04
MF370543|Brazil|NHP|2017-03-03	MF370543	11007	Brazil	NHP	2017-03-03
MF170975|Brazil|Human|2017-03-03	MF170975	10236	Brazil	Human	2017-03-03
MF370531|Brazil|Human|2017-02-28	MF370531	11004	Brazil	Human	2017-02-28
MF370541|Brazil|NHP|2017-02-28	MF370541	11005	Brazil	NHP	2017-02-28
MF538784|Brazil|Human|2017-02-26	MF538784	11007	Brazil	Human	2017-02-26
MF370540|Brazil|NHP|2017-02-25	MF370540	11005	Brazil	NHP	2017-02-25
MF370539|Brazil|NHP|2017-02-23	MF370539	11006	Brazil	NHP	2017-02-23
MF185661|Brazil|Human|2017-02-23	MF185661	6995	Brazil	Human	2017-02-23
MF423374|Brazil|NHP|2017-02-23	MF423374	11007	Brazil	NHP	2017-02-23
MH018081|Brazil|NHP|2017-02-22	MH018081	10213	Brazil	NHP	2017-02-22
MH018107|Brazil|Human|2017-02-22	MH018107	10218	Brazil	Human	2017-02-22
KY885001|Brazil|NHP|2017-02-22	KY885001	11007	Brazil	NHP	2017-02-22
MF423373|Brazil|NHP|2017-02-21	MF423373	11007	Brazil	NHP	2017-02-21
MK333800|Brazil|NHP|2017-02-20	MK333800	11007	Brazil	NHP	2017-02-20
MH018082|Brazil|NHP|2017-02-20	MH018082	10213	Brazil	NHP	2017-02-20
KY885000|Brazil|NHP|2017-02-20	KY885000	11007	Brazil	NHP	2017-02-20
MH018083|Brazil|NHP|2017-02-17	MH018083	10213	Brazil	NHP	2017-02-17
MK882604|Brazil|Human|2017-02-16	MK882604	10169	Brazil	Human	2017-02-16
MN117917|Brazil|NHP|2017-02-15	MN117917	10172	Brazil	NHP	2017-02-15
MH018064|Brazil|NHP|2017-02-15	MH018064	10213	Brazil	NHP	2017-02-15
MH018066|Brazil|NHP|2017-02-15	MH018066	10213	Brazil	NHP	2017-02-15
MH484431|Brazil|NHP|2017-02-14	MH484431	9763	Brazil	NHP	2017-02-14
MH018065|Brazil|NHP|2017-02-14	MH018065	10213	Brazil	NHP	2017-02-14
MH018067|Brazil|NHP|2017-02-13	MH018067	10213	Brazil	NHP	2017-02-13
MF170977|Brazil|Human|2017-02-10	MF170977	10236	Brazil	Human	2017-02-10
MK882599|Brazil|Human|2017-02-09	MK882599	9763	Brazil	Human	2017-02-09
MH484430|Brazil|NHP|2017-02-09	MH484430	10169	Brazil	NHP	2017-02-09
MH018084|Brazil|NHP|2017-02-09	MH018084	10213	Brazil	NHP	2017-02-09
MH484428|Brazil|Human|2017-02-05	MH484428	10169	Brazil	Human	2017-02-05
MH484429|Brazil|NHP|2017-02-03	MH484429	10169	Brazil	NHP	2017-02-03
MH484433|Brazil|NHP|2017-02-03	MH484433	9763	Brazil	NHP	2017-02-03
MK882602|Brazil|Human|2017-01-31	MK882602	9763	Brazil	Human	2017-01-31
MH018102|Brazil|NHP|2017-01-31	MH018102	10215	Brazil	NHP	2017-01-31
MH018091|Brazil|Human|2017-01-30	MH018091	10213	Brazil	Human	2017-01-30
MH018094|Brazil|Human|2017-01-30	MH018094	10213	Brazil	Human	2017-01-30
MH018103|Brazil|Human|2017-01-30	MH018103	10194	Brazil	Human	2017-01-30
MH018104|Brazil|Human|2017-01-30	MH018104	10195	Brazil	Human	2017-01-30
MF170971|Brazil|NHP|2017-01-30	MF170971	10236	Brazil	NHP	2017-01-30
MH018079|Brazil|Human|2017-01-28	MH018079	10213	Brazil	Human	2017-01-28
MH018080|Brazil|Human|2017-01-28	MH018080	10213	Brazil	Human	2017-01-28
MH018105|Brazil|Human|2017-01-28	MH018105	10194	Brazil	Human	2017-01-28
MH484425|Brazil|Human|2017-01-27	MH484425	10169	Brazil	Human	2017-01-27
MH018092|Brazil|Human|2017-01-27	MH018092	10213	Brazil	Human	2017-01-27
MH018071|Brazil|Human|2017-01-25	MH018071	9925	Brazil	Human	2017-01-25
MH018097|Brazil|NHP|2017-01-25	MH018097	10212	Brazil	NHP	2017-01-25
MH018098|Brazil|NHP|2017-01-25	MH018098	10213	Brazil	NHP	2017-01-25
MF170976|Brazil|Human|2017-01-25	MF170976	10236	Brazil	Human	2017-01-25
MF185660|Brazil|NHP|2017-01-25	MF185660	7969	Brazil	NHP	2017-01-25
MK882601|Brazil|Human|2017-01-24	MK882601	10169	Brazil	Human	2017-01-24
MH484423|Brazil|NHP|2017-01-24	MH484423	9475	Brazil	NHP	2017-01-24
MH484424|Brazil|Human|2017-01-24	MH484424	10169	Brazil	Human	2017-01-24
MH484427|Brazil|NHP|2017-01-24	MH484427	10169	Brazil	NHP	2017-01-24
MH018114|Brazil|NHP|2017-01-24	MH018114	10233	Brazil	NHP	2017-01-24
MH018115|Brazil|NHP|2017-01-24	MH018115	10233	Brazil	NHP	2017-01-24
MH666057|Brazil|NHP|2017-01-23	MH666057	10185	Brazil	NHP	2017-01-23
MH484432|Brazil|NHP|2017-01-23	MH484432	9763	Brazil	NHP	2017-01-23
MH484434|Brazil|Human|2017-01-22	MH484434	10169	Brazil	Human	2017-01-22
MT497525|Brazil|NHP|2017-01-21	MT497525	10172	Brazil	NHP	2017-01-21
MH018070|Brazil|Human|2017-01-21	MH018070	10213	Brazil	Human	2017-01-21
MH018088|Brazil|Human|2017-01-21	MH018088	10213	Brazil	Human	2017-01-21
MF370538|Brazil|NHP|2017-01-20	MF370538	11007	Brazil	NHP	2017-01-20
MH018073|Brazil|Human|2017-01-20	MH018073	10213	Brazil	Human	2017-01-20
MH018093|Brazil|Human|2017-01-20	MH018093	10213	Brazil	Human	2017-01-20
MH018076|Brazil|Human|2017-01-19	MH018076	10213	Brazil	Human	2017-01-19
MH018086|Brazil|Human|2017-01-19	MH018086	9519	Brazil	Human	2017-01-19
MH018095|Brazil|NHP|2017-01-19	MH018095	10213	Brazil	NHP	2017-01-19
MH018075|Brazil|Human|2017-01-18	MH018075	9519	Brazil	Human	2017-01-18
MH018078|Brazil|Human|2017-01-18	MH018078	10213	Brazil	Human	2017-01-18
MF370537|Brazil|NHP|2017-01-17	MF370537	11007	Brazil	NHP	2017-01-17
MF465805|Brazil|Human|2017-01-17	MF465805	10948	Brazil	Human	2017-01-17
MK583152|Brazil|Human|2017-01-16	MK583152	10984	Brazil	Human	2017-01-16
MF370530|Brazil|NHP|2017-01-15	MF370530	10885	Brazil	NHP	2017-01-15
MH018069|Brazil|Human|2017-01-14	MH018069	9509	Brazil	Human	2017-01-14
MH018074|Brazil|Human|2017-01-14	MH018074	10213	Brazil	Human	2017-01-14
MH484426|Brazil|NHP|2017-01-13	MH484426	9758	Brazil	NHP	2017-01-13
MH018085|Brazil|Human|2017-01-13	MH018085	10213	Brazil	Human	2017-01-13
MH018096|Brazil|NHP|2017-01-13	MH018096	10213	Brazil	NHP	2017-01-13
MH018106|Brazil|NHP|2017-01-13	MH018106	10213	Brazil	NHP	2017-01-13
MH018090|Brazil|Human|2017-01-12	MH018090	10213	Brazil	Human	2017-01-12
MF370533|Brazil|Human|2017-01-11	MF370533	10881	Brazil	Human	2017-01-11
MF370532|Brazil|Human|2017-01-10	MF370532	11005	Brazil	Human	2017-01-10
MH018087|Brazil|Human|2017-01-10	MH018087	10213	Brazil	Human	2017-01-10
MH018068|Brazil|Human|2017-01-09	MH018068	10213	Brazil	Human	2017-01-09
MH018072|Brazil|Human|2017-01-07	MH018072	10213	Brazil	Human	2017-01-07
MH018077|Brazil|Human|2017-01-07	MH018077	10213	Brazil	Human	2017-01-07
MH018089|Brazil|Human|2017-01-02	MH018089	10213	Brazil	Human	2017-01-02
MH666058|Brazil|NHP|2016-12-19	MH666058	10239	Brazil	NHP	2016-12-19
MT497524|Brazil|NHP|2016-12-12	MT497524	10172	Brazil	NHP	2016-12-12
MT497523|Brazil|NHP|2016-11-16	MT497523	10172	Brazil	NHP	2016-11-16
MH666056|Brazil|NHP|2016-11-16	MH666056	10236	Brazil	NHP	2016-11-16
MT497522|Brazil|NHP|2016-11-15	MT497522	10172	Brazil	NHP	2016-11-15
MW034590|Brazil|NHP|2016-11-01	MW034590	10945	Brazil	NHP	2016-11-01
MT497521|Brazil|NHP|2016-10-13	MT497521	10172	Brazil	NHP	2016-10-13
MT497520|Brazil|NHP|2016-10-10	MT497520	10172	Brazil	NHP	2016-10-10
MF370536|Brazil|NHP|2016-09-02	MF370536	11007	Brazil	NHP	2016-09-02
MF370535|Brazil|NHP|2016-08-30	MF370535	10897	Brazil	NHP	2016-08-30
MF370534|Brazil|NHP|2016-04-05	MF370534	11007	Brazil	NHP	2016-04-05
MF370549|Brazil|NHP|2015-08-26	MF370549	10581	Brazil	NHP	2015-08-26
MK333804|Brazil|NHP|2015-08-17	MK333804	11007	Brazil	NHP	2015-08-17
MW158364|Trinidad-and-Tobago|NHP|2009-01-22	MW158364	10622	Trinidad-and-Tobago	NHP	2009-01-22
MW158366|Trinidad-and-Tobago|NHP|2009-01-16	MW158366	10659	Trinidad-and-Tobago	NHP	2009-01-16
MW158367|Trinidad-and-Tobago|NHP|2009-01-16	MW158367	10666	Trinidad-and-Tobago	NHP	2009-01-16
MW158365|Trinidad-and-Tobago|NHP|2008-12-05	MW158365	10668	Trinidad-and-Tobago	NHP	2008-12-05
KY861728|Brazil|NHP|2008-02-09	KY861728	11008	Brazil	NHP	2008-02-09
MH018101|Brazil|Human|2003-08-15	MH018101	10169	Brazil	Human	2003-08-15
MH018100|Brazil|Human|2003-03-15	MH018100	10169	Brazil	Human	2003-03-15
MG969501|Brazil|Human|2001-03-07	MG969501	11007	Brazil	Human	2001-03-07
MW158342|Brazil|NHP|2000-02-07	MW158342	10859	Brazil	NHP	2000-02-07
MF004382|Bolivia|Human|1999-01-01	MF004382	10795	Bolivia	Human	1999-01-01
MW158359|Peru|Human|1998-01-20	MW158359	10668	Peru	Human	1998-01-20
