Accession,Length,Geo_Location,Country,Host,Collection_Date
MK457701,10684,Nigeria,Nigeria,Homo sapiens,2018-10-22
MK457700,10493,Nigeria,Nigeria,Homo sapiens,2018-10-14
MK882600,10169,"Brazil: Silva Jardim, Rio de Janeiro",Brazil,Homo sapiens,2018-04-24
MK882603,10169,"Brazil: Silva Jardim, Rio de Janeiro",Brazil,Homo sapiens,2018-04-24
MK583181,10943,"Brazil: Sao Paulo, Sao Lourenco da Serra",Brazil,Homo sapiens,2018-03-27
MK583180,10946,"Brazil: Sao Paulo, Guarulhos",Brazil,Homo sapiens,2018-03-14
MK583182,10944,"Brazil: Sao Paulo, Guarulhos",Brazil,Homo sapiens,2018-03-14
MK583179,10986,"Brazil: Sao Paulo, Ibiuna",Brazil,Homo sapiens,2018-03-11
MK583178,10945,"Brazil: Sao Paulo, Itariri",Brazil,Homo sapiens,2018-03-10
MK583177,10953,"Brazil: Sao Paulo, Guarulhos",Brazil,Homo sapiens,2018-03-04
MK583175,10946,"Brazil: Sao Paulo, Itaquaquecetuba",Brazil,Homo sapiens,2018-02-27
MK583176,10945,"Brazil: Sao Paulo, Piedade",Brazil,Homo sapiens,2018-02-27
MN643083,10682,Brazil: Teresopolis-RJ,Brazil,Homo sapiens,2018-02-25
MN643084,11007,Brazil: Teresopolis-RJ,Brazil,Homo sapiens,2018-02-25
MK583174,10980,"Brazil: Sao Paulo, Aruja",Brazil,Homo sapiens,2018-02-24
MK583173,10991,"Brazil: Sao Paulo, Guarulhos",Brazil,Homo sapiens,2018-02-23
MN643081,11007,Brazil: Teresopolis-RJ,Brazil,Homo sapiens,2018-02-19
MK583172,10996,"Brazil: Sao Paulo, Guarulhos",Brazil,Homo sapiens,2018-02-19
MK583169,10944,"Brazil: Sao Paulo, Guarulhos",Brazil,Homo sapiens,2018-02-18
MK583170,11011,"Brazil: Sao Paulo, Guarulhos",Brazil,Homo sapiens,2018-02-18
MK583171,10973,"Brazil: Sao Paulo, Guarulhos",Brazil,Homo sapiens,2018-02-18
MN643080,11007,Brazil: Teresopolis-RJ,Brazil,Homo sapiens,2018-02-17
MN643082,11007,Brazil: Teresopolis-RJ,Brazil,Homo sapiens,2018-02-16
MN643086,11007,Brazil: Angra dos Reis-RJ,Brazil,Homo sapiens,2018-02-14
MN643087,11007,Brazil: Ilha Grande-RJ,Brazil,Homo sapiens,2018-02-13
MN643085,10689,Brazil: Ilha Grande-RJ,Brazil,Homo sapiens,2018-02-11
MK583167,10947,"Brazil: Sao Paulo, Guarulhos",Brazil,Homo sapiens,2018-02-11
MK583168,10993,"Brazil: Sao Paulo, Sao Paulo",Brazil,Homo sapiens,2018-02-11
MN643091,11007,Brazil: Ilha Grande-RJ,Brazil,Alouatta guariba,2018-02-07
MN643092,11007,Brazil: Ilha Grande-RJ,Brazil,Alouatta guariba,2018-02-07
MK333805,10354,Brazil: Ilha Grande - RJ,Brazil,Sabethes chloropterus,2018-02-07
MK583166,10946,"Brazil: Sao Paulo, Sao Paulo",Brazil,Homo sapiens,2018-02-06
MK882620,10169,"Brazil: Rio de Janeiro, Rio de Janeiro",Brazil,Homo sapiens,2018-02-05
MK882621,10169,"Brazil: Angra dos Reis, Rio de Janeiro",Brazil,Homo sapiens,2018-02-05
MN643090,11007,Brazil: Ilha Grande-RJ,Brazil,Alouatta guariba,2018-02-04
MK583165,10986,"Brazil: Sao Paulo, Mairipora",Brazil,Homo sapiens,2018-02-04
MK583164,10999,"Brazil: Sao Paulo, Cotia",Brazil,Homo sapiens,2018-02-03
MK583163,10944,"Brazil: Sao Paulo, Sao Paulo",Brazil,Homo sapiens,2018-02-02
MH193175,10169,"Brazil: Sao Paulo, Sao Paulo Zoologico",Brazil,Alouatta sp.,2018-02-01
MK583162,10999,"Brazil: Sao Paulo, Sao Paulo",Brazil,Homo sapiens,2018-01-31
MK583160,10968,"Brazil: Sao Paulo, Cotia",Brazil,Homo sapiens,2018-01-29
MK333808,11007,Brazil: Belmiro Braga - MG,Brazil,Haemagogus janthinomys,2018-01-29
MH329655,10169,Brazil,Brazil,Aedes albopictus,2018-01-29
MK333806,11007,Brazil: Juiz de Fora - MG,Brazil,Haemagogus janthinomys,2018-01-27
MN643079,11007,Brazil: Teresopolis-RJ,Brazil,Homo sapiens,2018-01-26
MN506289,11007,Brazil: Valenca-RJ,Brazil,,2018-01-26
MN506291,11007,Brazil: Valenca-RJ,Brazil,,2018-01-26
MN643078,11007,Brazil: Teresopolis-RJ,Brazil,Homo sapiens,2018-01-25
MK882619,10169,"Brazil: Duas Barras, Rio de Janeiro",Brazil,Homo sapiens,2018-01-25
MN506284,11007,Brazil: Valenca-RJ,Brazil,,2018-01-24
MN506285,11007,Brazil: Valenca-RJ,Brazil,,2018-01-24
MN506286,11007,Brazil: Valenca-RJ,Brazil,,2018-01-24
MN506287,11007,Brazil: Valenca-RJ,Brazil,,2018-01-24
MN506288,11007,Brazil: Valenca-RJ,Brazil,,2018-01-24
MK583159,10998,"Brazil: Sao Paulo, Atibaia",Brazil,Homo sapiens,2018-01-24
MK583161,10945,"Brazil: Sao Paulo, Itaquaquecetuba",Brazil,Homo sapiens,2018-01-24
MK583156,10941,"Brazil: Sao Paulo, Atibaia",Brazil,Homo sapiens,2018-01-23
MK583157,10949,"Brazil: Sao Paulo, Guarulhos",Brazil,Homo sapiens,2018-01-23
MK583158,10995,"Brazil: Sao Paulo, Mairipora",Brazil,Homo sapiens,2018-01-23
MK583155,10992,"Brazil: Sao Paulo, Mairipora",Brazil,Homo sapiens,2018-01-22
MK882618,10169,"Brazil: Valenca, Rio de Janeiro",Brazil,Homo sapiens,2018-01-22
MK583154,10993,"Brazil: Sao Paulo, Sao Paulo",Brazil,Homo sapiens,2018-01-21
MK583153,10995,"Brazil: Sao Paulo, Mairipora",Brazil,Homo sapiens,2018-01-20
MK760665,10786,Netherlands,Netherlands,Homo sapiens,2018-01-19
MK333809,11007,Brazil: Valenca - RJ,Brazil,Haemagogus janthinomys,2018-01-19
MN506290,11007,Brazil: Valenca-RJ,Brazil,,2018-01-18
MK333807,11007,Brazil: Belmiro Braga - MG,Brazil,Haemagogus leucocelaenus,2018-01-18
MN643077,11007,Brazil: Teresopolis-RJ,Brazil,Homo sapiens,2018-01-16
MK583149,10999,"Brazil: Sao Paulo, Sao Paulo",Brazil,Homo sapiens,2018-01-16
MK583150,10991,"Brazil: Sao Paulo, Itaquaquecetuba",Brazil,Homo sapiens,2018-01-15
MK583151,10953,"Brazil: Sao Paulo, Mairipora",Brazil,Homo sapiens,2018-01-15
MK760664,10835,Netherlands,Netherlands,Homo sapiens,2018-01-14
MK583148,10975,"Brazil: Sao Paulo, Mairipora",Brazil,Homo sapiens,2018-01-13
MK760663,10856,Netherlands,Netherlands,Homo sapiens,2018-01-13
MK583147,10946,"Brazil: Sao Paulo, Mairipora",Brazil,Homo sapiens,2018-01-12
MK760662,10884,Netherlands,Netherlands,Homo sapiens,2018-01-12
MK760666,10924,Netherlands,Netherlands,Homo sapiens,2018-01-12
MK760660,10869,Netherlands,Netherlands,Homo sapiens,2018-01-11
MK760661,10850,Netherlands,Netherlands,Homo sapiens,2018-01-11
MN506266,11007,Brazil: Nova Iguacu-RJ,Brazil,,2018-01-09
MH193173,10169,"Brazil: Sao Paulo, Guarulhos",Brazil,Alouatta sp.,2018-01-09
MH193174,10169,"Brazil: Sao Paulo, Mairipora",Brazil,Homo sapiens,2018-01-09
MK333798,11007,Brazil: Sao Paulo - SP,Brazil,Homo sapiens,2018-01-08
MK333799,11007,Brazil: Sao Paulo - SP,Brazil,Homo sapiens,2018-01-08
MK249066,10164,Brazil,Brazil,Primates,2018-01
MZ604840,10276,Brazil,Brazil,Homo sapiens,2018
MZ604842,10288,Brazil,Brazil,Homo sapiens,2018
MZ604845,10289,Brazil,Brazil,Homo sapiens,2018
MZ604856,10504,Brazil,Brazil,Homo sapiens,2018
MZ604859,10279,Brazil,Brazil,Homo sapiens,2018
MZ604861,10283,Brazil,Brazil,Homo sapiens,2018
MZ604862,10335,Brazil,Brazil,Homo sapiens,2018
MZ604865,10836,Brazil,Brazil,Homo sapiens,2018
MZ604866,10836,Brazil,Brazil,Homo sapiens,2018
MZ604868,10377,Brazil,Brazil,Homo sapiens,2018
MZ604870,10274,Brazil,Brazil,Homo sapiens,2018
MZ604872,9813,Brazil,Brazil,Homo sapiens,2018
MZ604873,10185,Brazil,Brazil,Homo sapiens,2018
MZ604876,10306,Brazil,Brazil,Homo sapiens,2018
MN958078,10611,Nigeria,Nigeria,Homo sapiens,2018
MN506265,11007,Brazil: Teresopolis-RJ,Brazil,,2017-12-19
MK882617,10169,"Brazil: Nova Iguacu, Rio de Janeiro",Brazil,Homo sapiens,2017-11-28
MH030079,10169,"Brazil: Sao Paulo, Nazare Paulista",Brazil,Alouatta sp.,2017-11
MH030080,10169,"Brazil: Sao Paulo, Nazare Paulista",Brazil,Alouatta sp.,2017-11
MH030081,10169,"Brazil: Sao Paulo, Campo Limpo",Brazil,Alouatta sp.,2017-11
MH030082,10169,"Brazil: Sao Paulo, Campo Limpo",Brazil,Alouatta sp.,2017-11
MH030083,10169,"Brazil: Sao Paulo, Campo Limpo",Brazil,Alouatta sp.,2017-11
MH030084,10169,"Brazil: Sao Paulo, Piracaia",Brazil,Alouatta sp.,2017-11
MH030085,10169,"Brazil: Sao Paulo, Piracaia",Brazil,Alouatta sp.,2017-11
MH030086,10169,"Brazil: Sao Paulo, Piracaia",Brazil,Alouatta sp.,2017-11
MN643089,11007,Brazil: Miguel Pereira-RJ,Brazil,Alouatta guariba,2017-10-19
MH030070,10169,"Brazil: Sao Paulo, Campo Limpo Paulista",Brazil,Alouatta sp.,2017-10-19
MH030071,10169,"Brazil: Sao Paulo, Campo Limpo Paulista",Brazil,Alouatta sp.,2017-10-18
MH030073,10169,"Brazil: Sao Paulo, Mairipora",Brazil,Alouatta sp.,2017-10-18
MH030074,10169,"Brazil: Sao Paulo, Jarinu",Brazil,Alouatta sp.,2017-10-18
MH030063,10169,"Brazil: Sao Paulo, Itatiba",Brazil,Alouatta sp.,2017-10
MH030064,10169,"Brazil: Sao Paulo, Jundiai",Brazil,Alouatta sp.,2017-10
MH030065,10169,"Brazil: Sao Paulo, Jundiai",Brazil,Alouatta sp.,2017-10
MH030066,10169,"Brazil: Sao Paulo, Jundiai",Brazil,Alouatta sp.,2017-10
MH030067,10169,"Brazil: Sao Paulo, Jundiai",Brazil,Alouatta sp.,2017-10
MH030068,10169,"Brazil: Sao Paulo, Jundiai",Brazil,Alouatta sp.,2017-10
MH030069,10169,"Brazil: Sao Paulo, SaoPaulo",Brazil,,2017-10
MH030072,10169,"Brazil: Sao Paulo, Jarinu",Brazil,Alouatta sp.,2017-10
MH030075,10169,"Brazil: Sao Paulo, Jarinu",Brazil,Alouatta sp.,2017-10
MH030076,10169,"Brazil: Sao Paulo, Jarinu",Brazil,Alouatta sp.,2017-10
MH030077,10169,"Brazil: Sao Paulo, Jarinu",Brazil,Alouatta sp.,2017-10
MH030078,10169,"Brazil: Sao Paulo, Morungaba",Brazil,Alouatta sp.,2017-10
MH030057,10169,"Brazil: Sao Paulo, Braganca Paulista",Brazil,Alouatta sp.,2017-09-27
MH030060,10169,"Brazil: Sao Paulo, Itatiba",Brazil,Alouatta sp.,2017-09-27
MH030058,10169,"Brazil: Sao Paulo, Itatiba",Brazil,Alouatta sp.,2017-09-26
MH030059,10169,"Brazil: Sao Paulo, Itatiba",Brazil,Alouatta sp.,2017-09-21
MH030061,10169,"Brazil: Sao Paulo, Itatiba",Brazil,Alouatta sp.,2017-09-21
MH030062,10169,"Brazil: Sao Paulo, Itatiba",Brazil,Alouatta sp.,2017-09-19
MH030054,10169,"Brazil: Sao Paulo, Jundiai",Brazil,Alouatta sp.,2017-09-15
MH030056,10169,"Brazil: Sao Paulo, Jundiai",Brazil,Alouatta sp.,2017-09-12
MH030055,10169,"Brazil: Sao Paulo, Jundiai",Brazil,Alouatta sp.,2017-09-11
MH030051,10169,"Brazil: Sao Paulo, Louveira",Brazil,Alouatta sp.,2017-09
MH030052,10169,"Brazil: Sao Paulo, Louveira",Brazil,Alouatta sp.,2017-09
MH030053,10169,"Brazil: Sao Paulo, Itatiba",Brazil,Alouatta sp.,2017-08-30
MH030049,10169,"Brazil: Sao Paulo, Vinhedo",Brazil,Callithrix sp.,2017-08-17
MH030050,10169,"Brazil: Sao Paulo, Louveira",Brazil,Callicebus sp.,2017-08-16
MF538786,11007,Brazil: Guapimirim - RJ,Brazil,marmosets,2017-06-05
MF289572,10839,Singapore,Singapore,,2017-06
MH030091,10169,"Brazil: Sao Paulo, Campinas",Brazil,Homo sapiens,2017-05-29
MN506267,11007,Brazil: Marica-RJ,Brazil,,2017-05-08
MN506282,11007,Brazil: Marica-RJ,Brazil,,2017-05-08
MN506278,11007,Brazil: Marica-RJ,Brazil,,2017-05-07
MN506280,11007,Brazil: Marica-RJ,Brazil,,2017-05-07
MN506269,11007,Brazil: Marica-RJ,Brazil,,2017-05-06
MN506272,11007,Brazil: Marica-RJ,Brazil,,2017-05-06
MN506274,10719,Brazil: Marica-RJ,Brazil,,2017-05-06
MK089775,10354,Brazil: Marica - RJ,Brazil,Ochlerotatus taeniorhynchus,2017-05-06
MN506268,11007,Brazil: Marica-RJ,Brazil,,2017-05-05
MN506270,11007,Brazil: Marica-RJ,Brazil,,2017-05-05
MN506271,11007,Brazil: Marica-RJ,Brazil,,2017-05-05
MN506273,11007,Brazil: Marica-RJ,Brazil,,2017-05-05
MN506275,11007,Brazil: Marica-RJ,Brazil,,2017-05-05
MN506276,11007,Brazil: Marica-RJ,Brazil,,2017-05-05
MN506277,11007,Brazil: Marica-RJ,Brazil,,2017-05-05
MN506283,11007,Brazil: Marica-RJ,Brazil,,2017-05-05
MN506279,11007,Brazil: Marica-RJ,Brazil,,2017-05-04
MH030088,10169,"Brazil: Sao Paulo, Tuiuti",Brazil,Homo sapiens,2017-05-03
MH030089,10169,"Brazil: Sao Paulo, Sao Joao Boa Vista",Brazil,Homo sapiens,2017-05-03
MH030090,10169,"Brazil: Sao Paulo, Sao Joao Boa Vista",Brazil,Homo sapiens,2017-05-02
MN506281,10859,Brazil: Marica-RJ,Brazil,,2017-04-26
MH030087,10169,"Brazil: Sao Paulo, Americana",Brazil,Homo sapiens,2017-04-26
MF434851,11007,Brazil: Casimiro de Abreu-RJ,Brazil,Homo sapiens,2017-04-25
MH018113,10195,"Brazil: Rio de Janeiro, Casimiro de Abreu",Brazil,Homo sapiens,2017-04-22
MF538785,11007,"Brazil: Araras, Petropolis - RJ",Brazil,marmosets,2017-04-21
MK333803,11007,Brazil: Nova Crixas - GO,Brazil,Alouatta caraya,2017-04-20
MF370548,11007,Brazil,Brazil,Alouatta sp.,2017-04-20
MN643088,11007,Brazil: Macae-RJ,Brazil,Alouatta guariba,2017-04-19
MF423377,11007,Brazil: Carmo - RJ,Brazil,Alouatta guariba clamitans,2017-04-19
MF423378,11007,"Brazil: Santa Fe, Carmo - RJ",Brazil,Alouatta guariba clamitans,2017-04-19
MG550109,11007,"Brazil:Bananal, Marica - RJ",Brazil,Homo sapiens,2017-04-18
MK882614,10169,"Brazil: Carmo, Rio de Janeiro",Brazil,Homo sapiens,2017-04-17
MK882616,10169,"Brazil: Marica, Rio de Janeiro",Brazil,Homo sapiens,2017-04-17
MH018112,10216,"Brazil: Rio de Janeiro, Marica",Brazil,Alouatta sp.,2017-04-17
MF170968,10236,"Brazil: ES, Marechal Floriano",Brazil,Homo sapiens,2017-04-13
MF423376,11007,"Brazil: Macae, Sana - RJ",Brazil,Alouatta guariba clamitans,2017-04-13
MH018111,10195,"Brazil: Espirito Santo, Domingos Martins",Brazil,Homo sapiens,2017-04-10
MF170973,10236,"Brazil: ES, Domingos Martins",Brazil,Homo sapiens,2017-04-10
MN604286,10172,"Brazil: Salvador, Bahia",Brazil,Callithrix penicillata,2017-04-07
MF170979,10236,"Brazil: ES, Santa Maria de Jetiba",Brazil,Homo sapiens,2017-04-06
MN604285,10172,"Brazil: Ichu, Bahia",Brazil,Callithrix penicillata,2017-04-05
MK333801,11007,Brazil: Santa Leopoldina - ES,Brazil,Haemagogus janthinomys,2017-04-05
MK333802,11007,Brazil: Santa Leopoldina - ES,Brazil,Haemagogus leucocelaenus,2017-04-05
MF370544,11007,Brazil,Brazil,Aotus azarai,2017-04-05
MF370545,11008,Brazil,Brazil,Aotus azarai,2017-04-05
MF370546,11004,Brazil,Brazil,Alouatta caraya,2017-04-05
MF170981,10236,"Brazil: ES, Santa Leopoldina",Brazil,Homo sapiens,2017-04-05
MF423375,11007,"Brazil: Macae, Atalaia - RJ",Brazil,Alouatta guariba clamitans,2017-04-04
MF170972,10236,"Brazil: ES, Cariacica",Brazil,Homo sapiens,2017-03-31
MF170974,10236,"Brazil: ES, Cariacica",Brazil,Homo sapiens,2017-03-29
MF170978,10236,"Brazil: ES, Santa Maria de Jetiba",Brazil,Homo sapiens,2017-03-28
MK882613,10172,"Brazil: Sao Sebastiao do Alto, Rio de Janeiro",Brazil,Homo sapiens,2017-03-27
MK882615,10104,"Brazil: Sao Sebastiao do Alto, Rio de Janeiro",Brazil,Homo sapiens,2017-03-27
MF370547,10998,Brazil,Brazil,Alouatta sp.,2017-03-27
MF170980,10236,"Brazil: ES, Alfredo Chaves",Brazil,Homo sapiens,2017-03-23
MF170970,10236,"Brazil: ES, Domingos Martins",Brazil,Homo sapiens,2017-03-21
MK882612,10169,"Brazil: Serra, Espirito Santo",Brazil,Homo sapiens,2017-03-20
MF170969,10236,"Brazil: ES, Casimiro de Abreu",Brazil,Homo sapiens,2017-03-18
MF538783,11007,Brazil: Casimiro de Abreu-RJ,Brazil,Homo sapiens,2017-03-18
MN604287,10166,"Brazil: Cordeiros, Bahia",Brazil,Alouatta,2017-03-17
MN604282,10167,"Brazil: Camacari, Bahia",Brazil,Callithrix,2017-03-16
MF538782,11007,Brazil: Sao Fidelis-RJ,Brazil,Homo sapiens,2017-03-16
MN604283,10167,"Brazil: Salvador, Bahia",Brazil,Callithrix,2017-03-15
MN604284,10172,"Brazil: Pedrao, Bahia",Brazil,Homo sapiens,2017-03-15
MF370542,10898,Brazil,Brazil,Alouatta guariba,2017-03-14
MN604281,10167,"Brazil: Santa Rita de Cassia, Bahia",Brazil,Alouatta,2017-03-13
MK882609,10169,"Brazil: Vitoria, Espirito Santo",Brazil,Homo sapiens,2017-03-13
MK882608,9763,"Brazil: Rio de Janeiro, Rio de Janeiro",Brazil,Homo sapiens,2017-03-12
MN604280,10166,"Brazil: Cordeiros, Bahia",Brazil,Callithrix,2017-03-10
MH018099,10169,"Brazil: Bahia, Cordeiros",Brazil,Primates,2017-03-10
MH018108,10191,"Brazil: Espirito Santo, Cariacica",Brazil,Homo sapiens,2017-03-10
MK882605,9763,"Brazil: Rio de Janeiro, Rio de Janeiro",Brazil,Homo sapiens,2017-03-09
MK882607,10169,"Brazil: Rio de Janeiro, Rio de Janeiro",Brazil,Homo sapiens,2017-03-09
MH018110,10195,"Brazil: Espirito Santo, Cariacica",Brazil,Callithrix sp.,2017-03-09
MK882611,10169,"Brazil: Cariacica, Espirito Santo",Brazil,Homo sapiens,2017-03-08
MH018109,10195,"Brazil: Espirito Santo, Cariacica",Brazil,Alouatta sp.,2017-03-08
MK882606,9763,"Brazil: Campos dos Goytacazes, Rio de Janeiro",Brazil,Homo sapiens,2017-03-07
MK882610,10169,"Brazil: Guarapari, Espirito Santo",Brazil,Homo sapiens,2017-03-06
MK728873,11007,"Brazil: Amorinopolis, GO",Brazil,Homo sapiens,2017-03-04
MF370543,11007,Brazil,Brazil,Alouatta sp.,2017-03-03
MF170975,10236,"Brazil: ES, Brejetuba",Brazil,Homo sapiens,2017-03-03
MF370531,11004,Brazil,Brazil,Homo sapiens,2017-02-28
MF370541,11005,Brazil,Brazil,Alouatta sp.,2017-02-28
MF538784,11007,Brazil: Porciuncula-RJ,Brazil,Homo sapiens,2017-02-26
MF370540,11005,Brazil,Brazil,Alouatta seniculus,2017-02-25
MF370539,11006,Brazil,Brazil,Sapajus libidinosus,2017-02-23
MF185661,6995,"Brazil: RJ, Porciuncula",Brazil,Homo sapiens,2017-02-23
MF423374,11007,"Brazil: Paraju, Domingos Martins - ES",Brazil,Haemagogus janthinomys,2017-02-23
MH018081,10213,"Brazil: Minas Gerais, Aguanil",Brazil,Cebidae,2017-02-22
MH018107,10218,"Brazil: Espirito Santo, Vitoria",Brazil,Homo sapiens,2017-02-22
KY885001,11007,Brazil: Domingos Martins-ES,Brazil,Alouatta guariba clamitans,2017-02-22
MF423373,11007,"Brazil: Paraju, Domingos Martins - ES",Brazil,Haemagogus leucocelaenus,2017-02-21
MK333800,11007,Brazil: Domingos Martins - ES,Brazil,Alouatta guariba clamitans,2017-02-20
